# TF-IDF Weighting From http://www.pejeng.desa.id/post/
term,term_id,weight,corpus_id
lunga,1612,0.17509980919,corpus_23
pembina,239,0.174694378108,corpus_6
sasih,264,0.174518921508,corpus_12
penataran,244,0.174518921508,corpus_12
sukawati,278,0.174467262349,corpus_4
unggul,1855,0.174180482099,corpus_75
adu,3507,0.173852782622,corpus_69
group,2867,0.173819537925,corpus_53
penertiban,1670,0.173750925156,corpus_25
disita,1646,0.173750925156,corpus_25
dagangan,1640,0.173750925156,corpus_25
tanah,1985,0.17374588103,corpus_31
wisman,2232,0.173729366096,corpus_34
ivong,3616,0.173157972022,corpus_71
babak,1763,0.172609075026,corpus_28
kerusakan,2668,0.172251496527,corpus_47
irigasi,2664,0.172251496527,corpus_47
persiapan,1596,0.172019510087,corpus_22
kesibukan,1586,0.172019510087,corpus_22
ranah,4051,0.171987937975,corpus_85
laksmi,4002,0.171987937975,corpus_85
bola,402,0.171333641157,corpus_29
teduh,2401,0.170982323099,corpus_39
liburan,2390,0.170982323099,corpus_39
barong,2383,0.170982323099,corpus_39
negara,973,0.170856905275,corpus_10
tetaring,1603,0.170738963476,corpus_88
setahun,1562,0.170738963476,corpus_88
segara,3024,0.170738963476,corpus_88
teruni,3916,0.170693221834,corpus_82
keperluan,45,0.170302474246,corpus_42
terpeleset,3870,0.170016869291,corpus_80
luka-luka,3859,0.170016869291,corpus_80
lila,3858,0.170016869291,corpus_80
wintari,994,0.169670148508,corpus_10
merdeka,1512,0.16959509632,corpus_57
krama,48,0.169153841858,corpus_22
mengenakan,2284,0.168819455877,corpus_58
ekspresi,562,0.168504855791,corpus_6
merah,2592,0.168410040653,corpus_44
ring,511,0.168278918137,corpus_81
sekeha,105,0.168151281499,corpus_2
tu,2561,0.167916759782,corpus_43
tony,3947,0.167004899508,corpus_83
api,1454,0.167004899508,corpus_83
hias,3052,0.166901704279,corpus_56
melaspas,2714,0.166864933068,corpus_48
sembahyang,1063,0.166543286166,corpus_39
stabil,1565,0.166504280131,corpus_44
demam,1006,0.165672628756,corpus_37
mematikan,3623,0.16553442405,corpus_76
jagat,480,0.165528842657,corpus_60
juara,185,0.165456674656,corpus_65
skor,446,0.165083450101,corpus_28
membanggakan,1885,0.164649793287,corpus_65
goa,2008,0.164233445656,corpus_31
lintas,1652,0.164202491072,corpus_52
tahun-tahun,764,0.163653853467,corpus_7
banjir,1910,0.16356424177,corpus_30
angin,1908,0.16356424177,corpus_30
cokorda,798,0.163076306492,corpus_24
dinas,309,0.162965960927,corpus_38
posko,2787,0.16250066273,corpus_50
membersihkan,918,0.162449708547,corpus_86
porsenijar,3883,0.162316699258,corpus_81
jebolan,3880,0.162316699258,corpus_81
barat,938,0.162262053949,corpus_35
tabuh,279,0.162129056871,corpus_6
agustus,2951,0.161994201487,corpus_59
berhasil,303,0.161957827661,corpus_81
suparta,3423,0.161657491229,corpus_86
lidi,3172,0.161657491229,corpus_86
dwijati,3010,0.16147749268,corpus_55
danramil,2237,0.161374742494,corpus_84
wewangunan,136,0.161196604848,corpus_1
rampungnya,95,0.161196604848,corpus_1
pengendara,2292,0.161187875186,corpus_36
spontanitas,2077,0.161086390415,corpus_32
pos,2070,0.161086390415,corpus_32
kamling,2059,0.161086390415,corpus_32
boecoe,2050,0.161086390415,corpus_32
